10.0.2.15,209.61.212.120,5fa41cb1947e2,0,5013,11,300,6d8b15c12dbdc2b0,0,44
1,1,5015,10.0.2.2
2,1,5244,192.168.0.1
3,1,5271,10.73.0.5
4,1,5219,89.27.237.17
5,1,6087,94.135.119.105
6,1,8170,213.242.108.154
7,1,17439,213.242.108.153
8,c8,3000000,209.61.212.120
9,1,98737,66.36.224.54
10,c8,3000000,209.61.212.120
11,ff,98330,209.61.212.120
10.0.2.15,209.61.212.120,5fa41cbe97a32,0,fe2,11,300,6d8b15c12dbdc2b0,0,44
1,1,497,10.0.2.2
2,1,7136,192.168.0.1
3,1,7188,10.73.0.5
4,1,19963,89.27.237.17
5,1,10761,94.135.119.105
6,1,10815,213.242.108.154
7,1,20437,213.242.108.153
8,c8,3000000,209.61.212.120
9,1,104094,66.36.224.54
10,c8,3000000,209.61.212.120
11,ff,104353,209.61.212.120
10.0.2.15,209.61.212.120,5fa41ccbc1c28,0,6dca,11,300,6d8b15c12dbdc2b0,0,44
1,1,2693,10.0.2.2
2,1,5512,192.168.0.1
3,1,5522,10.73.0.5
4,1,5532,89.27.237.17
5,1,5542,94.135.119.105
6,1,6666,213.242.108.154
7,1,7665,213.242.108.153
8,c8,3000000,209.61.212.120
9,1,99020,66.36.224.54
10,c8,3000000,209.61.212.120
11,ff,98819,209.61.212.120
10.0.2.15,209.61.212.120,5fa41cd8bf536,0,9210,11,300,6d8b15c12dbdc2b0,0,44
1,1,3502,10.0.2.2
2,1,7562,192.168.0.1
3,1,7574,10.73.0.5
4,1,8524,89.27.237.17
5,1,7601,94.135.119.105
6,1,11893,213.242.108.154
7,1,7621,213.242.108.153
8,c8,3000000,209.61.212.120
9,1,99582,66.36.224.54
10,c8,3000000,209.61.212.120
11,ff,99083,209.61.212.120
10.0.2.15,209.61.212.120,5fa41ce5e4b39,0,4eeb,11,300,6d8b15c12dbdc2b0,0,44
1,1,4088,10.0.2.2
2,1,4411,192.168.0.1
3,1,4686,10.73.0.5
4,1,5569,89.27.237.17
5,1,5837,94.135.119.105
6,1,8210,213.242.108.154
7,1,6448,213.242.108.153
8,c8,3000000,209.61.212.120
9,1,101774,66.36.224.54
10,c8,3000000,209.61.212.120
11,ff,99776,209.61.212.120
10.0.2.15,209.61.212.120,5fa41cf33474d,0,3da1,11,300,6d8b15c12dbdc2b0,0,44
1,1,1930,10.0.2.2
2,1,11751,192.168.0.1
3,1,11759,10.73.0.5
4,1,11769,89.27.237.17
5,1,11776,94.135.119.105
6,1,11782,213.242.108.154
7,1,11791,213.242.108.153
8,c8,3000000,209.61.212.120
9,1,98911,66.36.224.54
10,c8,3000000,209.61.212.120
11,ff,98401,209.61.212.120
